"player","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","team_abbrev"
"Ohtani, Shohei","660271","2024","731","479",0.31,0.32,-0.010000000000000009,0.646,0.678,-0.03200000000000003,0.431,0.448,-0.017000000000000015,"LAD"
"Hernández, Teoscar","606192","2024","652","402",0.272,0.253,0.019000000000000017,0.501,0.496,0.0050000000000000044,0.36,0.348,0.01200000000000001,"LAD"
"Freeman, Freddie","518692","2024","638","450",0.282,0.281,0.0009999999999999454,0.476,0.477,-0.0010000000000000009,0.365,0.37,-0.0050000000000000044,"LAD"
"Smith, Will","669257","2024","544","379",0.248,0.243,0.0050000000000000044,0.433,0.451,-0.018000000000000016,0.326,0.333,-0.007000000000000006,"LAD"
"Betts, Mookie","605141","2024","516","397",0.289,0.288,0.0010000000000000009,0.491,0.462,0.02899999999999997,0.371,0.363,0.008000000000000007,"LAD"
"Lux, Gavin","666158","2024","487","331",0.251,0.262,-0.01100000000000001,0.383,0.393,-0.010000000000000009,0.31,0.32,-0.010000000000000009,"LAD"
"Pages, Andy","681624","2024","443","299",0.248,0.254,-0.006000000000000005,0.407,0.433,-0.026000000000000023,0.31,0.326,-0.016000000000000014,"LAD"
"Hernández, Enrique","571771","2024","393","289",0.229,0.233,-0.0040000000000000036,0.373,0.364,0.009000000000000008,0.285,0.285,0,"LAD"
"Rojas, Miguel","500743","2024","337","277",0.283,0.283,0,0.41,0.367,0.04299999999999998,0.327,0.314,0.013000000000000012,"LAD"
"Muncy, Max","571970","2024","293","166",0.232,0.232,0,0.494,0.46,0.033999999999999975,0.362,0.353,0.009000000000000008,"LAD"
"Kiermaier, Kevin","595281","2024","281","181",0.197,0.196,0.0010000000000000009,0.313,0.284,0.029000000000000026,0.241,0.233,0.00799999999999998,"LAD"
"Taylor, Chris","621035","2024","246","140",0.202,0.222,-0.01999999999999999,0.3,0.348,-0.04799999999999999,0.272,0.298,-0.025999999999999968,"LAD"
"Outman, James","681546","2024","156","81",0.147,0.195,-0.048000000000000015,0.265,0.317,-0.05199999999999999,0.242,0.279,-0.03700000000000003,"LAD"
"Barnes, Austin","605131","2024","156","106",0.264,0.229,0.035,0.307,0.296,0.01100000000000001,0.289,0.269,0.019999999999999962,"LAD"
"Edman, Tommy","669242","2024","153","111",0.237,0.222,0.014999999999999986,0.417,0.33,0.08699999999999997,0.307,0.271,0.035999999999999976,"LAD"ㄋ