"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Alonso, Pete","NYM","2024","xhr","22.8",11,22,19,"50","38",35.2,"2.8"
"Lindor, Francisco","NYM","2024","xhr","23.6",16,20,18,"51.4","35",33.1,"1.9"
"Vientos, Mark","NYM","2024","xhr","23.2",10,23,8,"25","32",25.4,"6.6"
"Nimmo, Brandon","NYM","2024","xhr","20",10,14,10,"41.7","24",19.5,"4.5"
"Martinez, J.D.","NYM","2024","xhr","22.7",10,21,2,"12.5","16",17.1,"-1.1"
"Winker, Jesse","NYM","2024","xhr","24.3",5,16,2,"13.3","15",13.5,"1.5"
"Bader, Harrison","NYM","2024","xhr","21",7,5,7,"58.3","12",11.3,"0.7"
"McNeil, Jeff","NYM","2024","xhr","23.1",9,7,4,"33.3","12",9.8,"2.2"
"Alvarez, Francisco","NYM","2024","xhr","26.5",3,11,4,"36.4","11",12.9,"-1.9"
"Marte, Starling","NYM","2024","xhr","23.9",5,8,3,"42.9","7",8.1,"-1.1"
"Taylor, Tyrone","NYM","2024","xhr","20.9",10,7,1,"14.3","7",6.5,"0.5"
"Stewart, DJ","NYM","2024","xhr","23.6",1,4,3,"60","5",5.6,"-0.6"
"Baty, Brett","NYM","2024","xhr","26",0,1,3,"75","4",4,"0.0"
"Iglesias, Jose","NYM","2024","xhr","20.6",2,4,0,"0","4",3.3,"0.7"
"Acuña, Luisangel","NYM","2024","xhr","25.1",0,3,0,"0","3",2.9,"0.1"
"Torrens, Luis","NYM","2024","xhr","24.9",2,3,0,"0","3",2.4,"0.6"
"Narváez, Omar","NYM","2024","xhr",,1,0,0,,"0",0.1,"-0.1"